benchmark,method,n_pool,n_gold,accuracy,precision,recall,macro_f1,fpr,auprc,coverage,abstain_rate
fraudr1,baseline,8564,600,0.9666666666666667,0.047619047619047616,1.0,0.5287600546365154,0.0333889816360601,0.0625,1.0,
fraudr1,frauddistill_teacher,8564,600,0.9983333333333333,0.0,0.0,0.5,0.0,0.0028169014084507044,1.0,0.0
orbench,baseline,3000,600,0.6583333333333333,0.11981566820276497,0.65,0.43063160088938296,0.3410714285714286,0.12301039919915802,1.0,
orbench,frauddistill_teacher,3000,600,0.9433333333333334,1.0,0.15,0.6304347826086957,0.0,0.268408249780569,1.0,0.0
do_not_answer,baseline,5634,5634,0.9950301739439119,0.9661016949152542,0.8860103626943006,0.9616107929285653,0.0011027384671935306,0.8688877708474747,1.0,
do_not_answer,frauddistill_teacher,5634,5634,0.9046858359957402,0.10185185185185185,0.22797927461139897,0.5347447895607425,0.07131042087851498,0.12560730245804516,1.0,0.0
aegis2,baseline,1964,131,0.9236641221374046,0.8387096774193549,0.8387096774193549,0.8943548387096774,0.05,0.8492705177100562,1.0,
aegis2,frauddistill_teacher,1964,131,0.7557251908396947,0.4883720930232558,0.6774193548387096,0.6737837837837839,0.22,0.5131877569027216,1.0,0.0
