benchmark,group,subgroup,n,gold_rate,baseline_macro_f1,baseline_recall,baseline_fpr,teacher_macro_f1,teacher_recall,teacher_fpr,delta_macro_f1
fraudr1,language,Chinese,300,0.0033333333333333335,0.5390886287625418,1.0,0.046822742474916385,0.5,0.0,0.0,-0.03908862876254182
fraudr1,language,English,300,0.0,0.49,0.0,0.02,0.5,0.0,0.0,0.010000000000000009
fraudr1,category,Fake Job Postings,120,0.008333333333333333,0.5210084033613446,1.0,0.10084033613445378,0.5,0.0,0.0,-0.021008403361344574
fraudr1,category,Fraudulent Services,120,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0
fraudr1,category,Impersonation,120,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0
fraudr1,category,Online Relationships,120,0.0,0.49166666666666664,0.0,0.016666666666666666,0.5,0.0,0.0,0.00833333333333336
fraudr1,category,Phishing Scams,120,0.0,0.475,0.0,0.05,0.5,0.0,0.0,0.025000000000000022
fraudr1,target_model,qwen-plus,600,0.0016666666666666668,0.5287600546365154,1.0,0.0333889816360601,0.5,0.0,0.0,-0.02876005463651543
fraudr1,prompt_type,unknown,600,0.0016666666666666668,0.5287600546365154,1.0,0.0333889816360601,0.5,0.0,0.0,-0.02876005463651543
orbench,language,English,600,0.06666666666666667,0.43063160088938296,0.65,0.3410714285714286,0.6304347826086957,0.15,0.0,0.19980318171931272
orbench,category,deception,77,0.05194805194805195,0.38082191780821917,1.0,0.4383561643835616,0.7,0.25,0.0,0.3191780821917808
orbench,category,harassment,76,0.07894736842105263,0.42857142857142855,1.0,0.42857142857142855,0.6428571428571428,0.16666666666666666,0.0,0.21428571428571425
orbench,category,harmful,77,0.07792207792207792,0.42077464788732394,0.8333333333333334,0.4084507042253521,0.5,0.0,0.0,0.07922535211267606
orbench,category,hate,77,0.1038961038961039,0.4903943377148635,1.0,0.391304347826087,0.6111111111111112,0.125,0.0,0.12071677339624765
orbench,category,illegal,76,0.013157894736842105,0.27166666666666667,1.0,0.5066666666666667,0.5,0.0,0.0,0.22833333333333333
orbench,category,privacy,76,0.05263157894736842,0.32023809523809527,0.25,0.4166666666666667,0.5,0.0,0.0,0.17976190476190473
orbench,category,self-harm,36,0.0,0.4583333333333333,0.0,0.08333333333333333,0.5,0.0,0.0,0.041666666666666685
orbench,category,sexual,35,0.3142857142857143,0.5833333333333334,0.09090909090909091,0.0,0.7142857142857143,0.2727272727272727,0.0,0.13095238095238093
orbench,category,unethical,35,0.0,0.4857142857142857,0.0,0.02857142857142857,0.5,0.0,0.0,0.01428571428571429
orbench,category,violence,35,0.0,0.4857142857142857,0.0,0.02857142857142857,0.5,0.0,0.0,0.01428571428571429
orbench,target_model,qwen-plus,600,0.06666666666666667,0.43063160088938296,0.65,0.3410714285714286,0.6304347826086957,0.15,0.0,0.19980318171931272
orbench,prompt_type,hard_safe,250,0.104,0.20936507936507937,0.8846153846153846,0.7857142857142857,0.603448275862069,0.11538461538461539,0.0,0.3940831964969896
orbench,prompt_type,regular_safe,150,0.02666666666666667,0.5849937733499377,0.75,0.10273972602739725,0.5,0.0,0.0,-0.08499377334993774
orbench,prompt_type,toxic,200,0.05,0.5,0.0,0.0,0.7307692307692307,0.3,0.0,0.23076923076923073
do_not_answer,language,English,5634,0.03425630102946397,0.9616107929285653,0.8860103626943006,0.0011027384671935306,0.5347447895607425,0.22797927461139897,0.07131042087851498,-0.4268660033678229
do_not_answer,category,"Discrimination, Exclusion, Toxicity, Hateful, Offensive",1056,0.04450757575757576,0.9833754276031843,0.9574468085106383,0.0009910802775024777,0.5046747414859187,0.0851063829787234,0.061446977205153616,-0.4787006861172656
do_not_answer,category,Human-Chatbot Interaction Harms,702,0.029914529914529916,0.859642682329907,0.6190476190476191,0.002936857562408223,0.5482887156895967,0.23809523809523808,0.05726872246696035,-0.31135396664031034
do_not_answer,category,Information Hazards,1488,0.038978494623655914,0.9912280701754386,0.9655172413793104,0.0,0.45813219039025493,0.15517241379310345,0.14825174825174825,-0.5330958797851837
do_not_answer,category,Malicious Uses,1458,0.02194787379972565,0.9604865681303268,0.9375,0.0021037868162692847,0.7174452475995253,0.65625,0.02664796633941094,-0.24304132053080152
do_not_answer,category,Misinformation Harms,930,0.03763440860215054,0.935483870967742,0.7714285714285715,0.0,0.5442646738736124,0.14285714285714285,0.041340782122905026,-0.39121919709412956
do_not_answer,target_model,ChatGLM2,939,0.09052183173588925,0.9583662591054726,0.8823529411764706,0.00351288056206089,0.6073680417942713,0.3176470588235294,0.08196721311475409,-0.3509982173112013
do_not_answer,target_model,ChatGPT,939,0.014909478168264111,0.9637451737451738,0.9285714285714286,0.001081081081081081,0.5229784886927744,0.14285714285714285,0.03567567567567568,-0.44076668505239935
do_not_answer,target_model,Claude,939,0.01703940362087327,0.9074074074074074,0.6875,0.0,0.45314875679415867,0.0625,0.1105092091007584,-0.45425865061324877
do_not_answer,target_model,GPT4,939,0.024494142705005325,0.9888888888888889,0.9565217391304348,0.0,0.5237235471951629,0.08695652173913043,0.02947598253275109,-0.46516534169372603
do_not_answer,target_model,llama2-7b-chat,939,0.003194888178913738,0.7846459096459097,0.6666666666666666,0.002136752136752137,0.43803418803418803,0.0,0.12393162393162394,-0.3466117216117217
do_not_answer,target_model,vicuna-7b,939,0.055378061767838126,0.98,0.9230769230769231,0.0,0.5928367010666898,0.23076923076923078,0.04509582863585118,-0.38716329893331014
do_not_answer,prompt_type,unknown,5634,0.03425630102946397,0.9616107929285653,0.8860103626943006,0.0011027384671935306,0.5347447895607425,0.22797927461139897,0.07131042087851498,-0.4268660033678229
aegis2,language,English,131,0.2366412213740458,0.8943548387096774,0.8387096774193549,0.05,0.6737837837837839,0.6774193548387096,0.22,-0.22057105492589346
aegis2,category,general_safety,131,0.2366412213740458,0.8943548387096774,0.8387096774193549,0.05,0.6737837837837839,0.6774193548387096,0.22,-0.22057105492589346
aegis2,target_model,unknown,131,0.2366412213740458,0.8943548387096774,0.8387096774193549,0.05,0.6737837837837839,0.6774193548387096,0.22,-0.22057105492589346
aegis2,prompt_type,unknown,131,0.2366412213740458,0.8943548387096774,0.8387096774193549,0.05,0.6737837837837839,0.6774193548387096,0.22,-0.22057105492589346
