setting,split,n,acc,precision,recall,macro_f1,fpr,mcc,auprc,auroc,brier,ece
T0_rule,test,1262,0.5055,0.4939,0.3247,0.3918,0.3204,0.0046,0.5114,0.5428,0.301,0.2294
T2_fraud_only,test,1262,0.8281,0.9223,0.7092,0.8018,0.0575,0.6721,0.8408,0.8413,0.1652,0.0163
T3_fraud_refusal,test,1262,0.8059,0.9517,0.6365,0.7628,0.0311,0.6446,0.8976,0.8997,0.1846,0.1848
T4_fraud_refusal_context,test,1262,0.8051,0.9538,0.6333,0.7612,0.0295,0.644,0.9024,0.9061,0.1842,0.1887
T5_rule_arbiter,test,1262,0.897,0.8989,0.8901,0.8945,0.0964,0.7939,0.9078,0.9183,0.1322,0.1404
T6_evidence_arbiter,test,1262,0.9033,0.9002,0.9031,0.9016,0.0964,0.8066,0.9236,0.9315,0.0985,0.0414
T7_full_correction,test,1262,0.9033,0.9002,0.9031,0.9016,0.0964,0.8066,0.9236,0.9315,0.0985,0.0414
T1_single_judge,test,1262,0.7575,0.9065,0.5638,0.6952,0.056,0.5514,0.5158,0.5571,0.4251,0.2483
