setting,direct_recall,direct_fpr,trust_recall,trust_fpr,leakage_recall,leakage_fpr,clean_refusal_recall,clean_refusal_fpr,hard_safe_recall,hard_safe_fpr,over_refusal_recall,over_refusal_fpr,quotation_recall,quotation_fpr,education_recall,education_fpr,toxic_recall,toxic_fpr,context_flip_pair_acc
T0_rule,0.4062,0.0,0.0,0.0,0.8,0.0,0.0,0.375,0.0,0.2917,0.0,0.0,0.0,0.675,0.0,0.675,0.2357,0.0,0.0
T2_fraud_only,0.875,0.0,1.0,0.0,0.4167,0.0,0.0,0.0433,0.0,0.0083,0.0,0.0,0.0,0.0,0.0,0.0375,0.55,0.0,0.1579
T3_fraud_refusal,0.8313,0.0,0.9125,0.0,0.0,0.0,0.0,0.0337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.5286,0.0,0.2632
T4_fraud_refusal_context,0.8187,0.0,0.9125,0.0,0.0,0.0,0.0,0.0288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.5286,0.0,0.2632
T5_rule_arbiter,0.95,0.0,1.0,0.0,0.7667,0.0,0.0,0.101,0.0,0.0333,0.9167,0.0,0.0,0.1,0.0,0.05,0.7143,0.0,0.0526
T6_evidence_arbiter,0.9688,0.0,1.0,0.0,0.7667,0.0,0.0,0.101,0.0,0.0333,0.9167,0.0,0.0,0.1,0.0,0.05,0.75,0.0,0.0526
T7_full_correction,0.9688,0.0,1.0,0.0,0.7667,0.0,0.0,0.101,0.0,0.0333,0.9167,0.0,0.0,0.1,0.0,0.05,0.75,0.0,0.0526
T1_single_judge,0.7812,0.0,0.5,0.0,0.0167,0.0,0.0,0.0481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6714,0.0,0.1053
