threshold,balanced_accuracy,recall,specificity,fpr,feasible
0.0,0.5,1.0,0.0,1.0,0
1.0,0.525,0.05,1.0,0.0,1
0.0,0.5,1.0,0.0,1.0,0
0.764,0.6583,0.3167,1.0,0.0,1
0.85,0.65,0.3,1.0,0.0,1
0.88,0.5583,0.1167,1.0,0.0,1
0.895,0.55,0.1,1.0,0.0,1
0.91,0.5417,0.0833,1.0,0.0,1
0.94,0.5333,0.0667,1.0,0.0,1
1.0,0.525,0.05,1.0,0.0,1
