benchmark,gold_note,n,n_pos,baseline_method,baseline_macro_f1,teacher_macro_f1,baseline_recall,teacher_recall,baseline_fpr,teacher_fpr,baseline_auprc,teacher_auprc,baseline_mcc,teacher_mcc,delta_macro_f1,mcnemar_p,bootstrap_delta,bootstrap_ci95_low,bootstrap_ci95_high
Do-Not-Answer (official human labels),official human harmfulness (full pool),5634,193,LibrAI/longformer-harmful-ro,0.9616,0.5677,0.886,0.171,0.0011,0.0312,0.9657,0.1639,0.9227,0.1364,-0.3939,0.164766,-0.0633,-0.0744,-0.0526
Aegis 2.0 response (official labels),official response_label (full test),813,394,nvidia/llama-3.1-nemoguard-8b-content-safety,0.8787,0.8072,0.8858,0.5838,0.1217,0.0835,,0.7764,0.7638,0.5333,-0.0715,0.0,-0.0633,-0.0793,-0.0467
Fraud-R1 (audited subset),"LLM-panel silver labels (2026-08-05 blind panel, adjudicated); NOT human Gold (guide 15)",800,11,Fraud-R1 GPTCheck protocol,0.4893,0.6019,0.9091,0.8182,0.1584,0.0608,,0.4726330480734099,0.2334,0.3428,0.1126,0.0,0.0475,0.0369,0.0581
OR-Bench (audited subset),"LLM-panel silver labels (2026-08-05 blind panel, adjudicated); NOT human Gold (guide 15)",800,2,OR-Bench official response checker,0.3221,0.522,0.0,0.5,0.3559,0.0301,,0.510752688172043,-0.0371,0.1349,0.1999,0.0,0.1631,0.1462,0.1812
