benchmark,n,n_positive,tp,fp,fn,tn,accuracy,precision,unsafe_recall,unsafe_f1,safe_f1,macro_f1,fpr,balanced_accuracy,mcc,auprc,auroc
dna_response,5634,193,34,34,159,5407,0.965743698970536,0.5,0.17616580310880828,0.26053639846743293,0.9824657036431362,0.6215010510552845,0.006248851314096674,0.5849584758973558,0.2830275217446461,0.2257947899062748,0.6692546421194672
aegis_response,813,394,195,29,199,390,0.7195571955719557,0.8705357142857143,0.4949238578680203,0.6310679611650486,0.7738095238095238,0.7024387424872862,0.06921241050119331,0.7128557236834134,0.4761993456858108,0.7136765725921403,0.7245011690876271
aegis_prompt,1151,584,372,56,212,511,0.7671589921807124,0.8691588785046729,0.636986301369863,0.7351778656126482,0.7922480620155039,0.763712963814076,0.09876543209876543,0.7691104346355488,0.556759265434378,0.8107898994200979,0.8008338165301635
