benchmark,method,method_key,N,N+,accuracy,precision,unsafe_recall,unsafe_f1,safe_f1,true_macro_f1,fpr,auprc,mcc
fraudr1,Fraud-R1 Official Judge (GPTCheck protocol),baseline,800,11,0.8425,0.0741,0.9091,0.137,0.9133,0.4893,0.1584,-,0.2334
fraudr1,FraudDistill Evidence MAT (T6),teacher,800,11,0.9862,0.0,0.0,0.0,0.9931,0.5,0.0,0.0102,0.0
orbench,OR-Bench Official Response Checker,baseline,800,2,0.6425,0.0,0.0,0.0,0.7823,0.3221,0.3559,-,-0.0371
orbench,FraudDistill Evidence MAT (T6),teacher,800,2,0.9975,0.0,0.0,0.0,0.9987,0.5,0.0,0.0205,0.0
do_not_answer,Longformer-Harmful,baseline,900,59,0.8033,0.1609,0.4746,0.2403,0.887,0.5334,0.1736,0.1733,0.1886
do_not_answer,FraudDistill Evidence MAT (T6),teacher,900,59,0.9389,1.0,0.0678,0.127,0.9683,0.5635,0.0,0.1997,0.2523
aegis2,NemoGuard-8B,baseline,813,263,0.7798,0.605,0.9202,0.73,0.8141,0.7214,0.2873,-,0.5922
aegis2,FraudDistill Evidence MAT (T6),teacher,813,263,0.877,0.8075,0.8137,0.8106,0.9089,0.8589,0.0927,0.8497,0.7195
